"BusiActivePerm,pk_subject,isbuttonpower",主体PK（功能节点或者页签PK）,是否启用业务活动权限
,1004Z8100000000067RN,Y
,1002Z8100000000009CE,Y
,1002Z810000000001XRS,Y
,1002Z810000000001O6U,Y
,1002Z810000000001O6V,Y
,1001Z81000000000H277,Y
,1003Z810000000002UMH,Y
,1002Z810000000001RA1,Y
,1001Z810000000001OYM,Y
,1002Z81000000000I73F,Y
,1002Z81000000000OK9I,Y
,1003Z8100000000062DM,Y
,1002Z810000000000X6V,Y
,1002Z810000000001STH,Y
,1001Z810000000000UDG,Y
,0001Z8PU000000000KU3,Y
,1005Z810000000002QRL,Y
,1001Z810000000000OOZ,Y
,1002Z810000000009H56,Y
,1002Z81000000000IYWK,Y
,1002Z810000000000WKL,Y
,1002Z8100000000128JM,Y
,1003Z810000000001HDN,Y
,1002Z81000000000NOML,Y
,1001Z81000000000B2X7,Y
,1001Z81000000000B7JT,Y
,1002Z8100000000005FE,Y
,1002Z8100000000005GJ,Y
,1002Z8100000000005HO,Y
,1002Z8100000000005IT,Y
,1002Z810000000004UF7,Y
,1002Z810000000004UGG,Y
,1002Z810000000004UHP,Y
,1001Z8100000000011EN,Y
,1002Z81000000000HTZ7,Y
,1002Z81000000000BYK1,Y
,1002Z81000000000JW9P,Y
,1002Z810000000014HKC,Y
,1001Z8100000000067SD,Y
,1001Z81000000000ASXA,Y
,1001Z810000000004FRI,Y
,1002Z810000000001B2M,Y
,1002Z810000000DY1B2M,Y
,1001Z81000000000LLUT,Y
,1002Z810000000001VXJ,Y
,1004Z810000000000WGF,Y
