"respfunc,pk_resp_func,pk_responsibility,busi_pk,type",主键,职责,业务标示,业务功能类型
,0001Z8100000000003M6,SCM_01,40040000,0
,1001Z810000000001NIL,SCM_01,40040000_approve,2
,1001Z810000000001NIK,SCM_01,40040000_close,2
,1001Z810000000001NIO,SCM_01,40040000_edit,2
,1001Z810000000001NIV,SCM_01,40040000_filedel,2
,1001Z810000000001NIF,SCM_01,40040000_filemainten,2
,1001Z810000000001NIJ,SCM_01,40040000_filepreveiw,2
,1001Z810000000001NIU,SCM_01,40040000_insert,2
,1001Z810000000001NIM,SCM_01,40040000_open,2
,1001Z810000000001NIT,SCM_01,40040000_print,2
,0001Z8100000000003M7,SCM_01,40040200,0
,1001Z810000000001NIQ,SCM_01,40040200_approve,2
,1001Z810000000001NI7,SCM_01,40040200_close,2
,1001Z810000000001NIB,SCM_01,40040200_edit,2
,1001Z810000000001NIR,SCM_01,40040200_epupublish,2
,1001Z810000000001NI9,SCM_01,40040200_filedel,2
,1001Z810000000001NI6,SCM_01,40040200_filemainten,2
,1001Z810000000001NIG,SCM_01,40040200_filepreveiw,2
,1001Z810000000001NIW,SCM_01,40040200_insert,2
,1001Z810000000001NID,SCM_01,40040200_open,2
,1001Z810000000001NIA,SCM_01,40040200_print,2
,0001Z8100000000003M8,SCM_01,40040202,0
,0001Z8100000000003M9,SCM_01,40040204,0
,1001Z810000000001NIC,SCM_01,40040204_DetailBtnGroup,2
,1001Z810000000001NII,SCM_01,40040204_ExpBtnGroup,2
,1001Z810000000001NIE,SCM_01,40040204_PrintBtnGroup,2
,1001Z810000000001NI8,SCM_01,40040204_QueryBtnGroup,2
,1001Z810000000001NIH,SCM_01,40040204_SubscibeBtnGroup,2
,1001Z810000000001NIN,SCM_01,40040204_ToolBtnGroup,2
,1001Z810000000001I0L,SCM_01,40071010,0
,1001Z810000000001I0T,SCM_01,40071010_edit,2
,1001Z810000000001I0O,SCM_01,40071010_export,2
,1001Z810000000001I0U,SCM_01,40071010_import,2
,1001Z810000000001I0Y,SCM_01,40071010_print,2
,0001Z8100000000003JN,SCM_01,40071020,0
,1001Z810000000001I0X,SCM_01,40072010,0
,1001Z810000000001I0R,SCM_01,40072010_add,2
,1001Z810000000001I0M,SCM_01,40072010_edit,2
,1001Z810000000001I0W,SCM_01,40072020,0
,1001Z810000000001I0V,SCM_01,40072020_account,2
,1001Z810000000001I0P,SCM_01,40072020_print,2
,1001Z810000000001I0N,SCM_01,40072040,0
,1001Z810000000001I0S,SCM_01,40072040_print,2
,1001Z810000000001I0Q,SCM_01,40072040_release,2
,0001Z8100000000003JJ,SCM_01,40073010,0
,0001Z8100000000003JI,SCM_01,40073020,0
,0001Z8100000000003P2,SCM_01,40092010,0
,0001Z8100000000003LB,SCM_02,40040400,0
,1001Z810000000001NHQ,SCM_02,40040400_approve,2
,1001Z810000000001NFI,SCM_02,40040400_arrivalplan,2
,1001Z810000000001NFS,SCM_02,40040400_close,2
,1001Z810000000001NGP,SCM_02,40040400_closeandopen,2
,1001Z810000000001NFV,SCM_02,40040400_edit,2
,1001Z810000000001NGI,SCM_02,40040400_filedel,2
,1001Z810000000001NFW,SCM_02,40040400_filemainten,2
,1001Z810000000001NF0,SCM_02,40040400_filepreveiw,2
,1001Z810000000001NF7,SCM_02,40040400_frozenandunfrozen,2
,1001Z810000000001NHV,SCM_02,40040400_insert,2
,1001Z810000000001NFY,SCM_02,40040400_makeCoopTo30,2
,1001Z810000000001NHH,SCM_02,40040400_open,2
,1001Z810000000001NH5,SCM_02,40040400_payplan,2
,1001Z810000000001NH6,SCM_02,40040400_print,2
,1001Z810000000001NF4,SCM_02,40040400_ref20,2
,1001Z810000000001NG6,SCM_02,40040400_ref30,2
,1001Z810000000001NFH,SCM_02,40040400_ref49,2
,1001Z810000000001NH0,SCM_02,40040400_refCoopTo30,2
,1001Z810000000001NHI,SCM_02,40040400_refZ2,2
,1001Z810000000001NG5,SCM_02,40040400_transstatus,2
,0001Z8100000000003LC,SCM_02,40040402,0
,0001Z8100000000003LD,SCM_02,40040404,0
,1001Z810000000001NFO,SCM_02,40040404_approve,2
,1001Z810000000001NHX,SCM_02,40040404_edit,2
,1001Z810000000001NH8,SCM_02,40040404_filedel,2
