bd_userdefrule
pk_userdefrule,name
1001Z810000000002CW5,委外入财务表头自定义项
1001Z810000000002CW7,委外入财务表体自定义项
1001Z810000000002CW9,期初暂估单表头自定义项
1001Z810000000002CWB,期初暂估单表体自定义项
1001Z810000000002CWD,价格结算单表头自定义项
1001Z810000000002CWF,价格结算单表体自定义项
1001Z81000000000HJ6K,采购到货单表头自定义项
1001Z81000000000HJ6M,采购到货单表体自定义项
1001Z810000000002CVL,物资需求申请表头自定义项
1001Z810000000002CVN,物资需求申请表体自定义项
1001Z810000000002CVP,请购单表头自定义项
1001Z810000000002CVR,请购单表体自定义项
1001Z810000000002CVT,采购订单表头自定义项
1001Z810000000002CVV,采购订单表体自定义项
1001Z81000000000HJ6J,采购管理
1001Z810000000002CVX,采购发票表头自定义项
1001Z810000000002CVZ,采购发票表体自定义项
1001Z810000000002CW1,库存财务表头自定义项
1001Z810000000002CW3,库存财务表体自定义项
