pub_eventlistener
pk_eventlistener,name
0001Z810000000009ORW,采购询价预警初始化
1001Z82000000000LFZO,付款单回写采购订单
1002Z81000000000J7D6,反核销回写采购订单累计已核销本币开票金额
1003Z8100000000047BC,采购岗监听
1003Z8100000000047BD,采购岗监听
1003Z8100000000044X6,更新采购岗信息
1002Z81000000000PRGX,应付单修改采购限制
1002Z8100000000178BX,删除行清空采购订单表体集采控制规则主键
1002Z8100000000178BY,删除后清空采购订单表体集采控制规则主键
1003Z81000000000412B,采购订单引用银行账户删除监听
1002Z81000000000J7D4,核销回写采购订单累计已核销本币开票金额
1001Z81000000000222P,付款申请如果来源于采购或者合同，不允许修改
1001Z81000000000LFZP,付款单回写采购订单
1001Z81000000000LFZN,付款单回写采购订单
0001Z8100000000380QP,查询付款协议
1001Z81000000003L5OZ,来源于订单的付款申请累积付款金额变化后回写订单累积付款金额
1001Z81000000000LFZX,用于付款申请633升级时处理付款计划上累计付款金额字段的升级
1002Z810000000002101,采购订单监听付款申请单新增动作
1002Z810000000002102,采购订单监听付款申请单删除动作
1002Z810000000002103,采购订单监听付款申请单修改动作
