pub_eventtype
pk_eventtype,eventtypename,sourcename
1001Z810000000001E5N,新增前,到货单
1001Z810000000001E5P,修改前,到货单
1001Z810000000001E5Q,修改后,到货单
1001Z810000000001E62,审批前,到货单
1001Z810000000001E63,审批后,到货单
1003Z81000000000B2X7,删除前,到货单
1001Z810000000001E5O,新增后,到货单
1003Z81000000000FV00,删除后,到货单
1003Z81000000000FV01,送审前,到货单
1003Z81000000000FV0B,送审后,到货单
1003Z81000000000FV0C,收回前,到货单
1003Z81000000000FV0D,收回后,到货单
1003Z81000000000FV0E,弃审前,到货单
1003Z81000000000FV0N,弃审后,到货单
1001Z81000000000CJE1,新增前,采购订单
1001Z81000000000CJE2,新增后,采购订单
1001Z81000000000CJE3,修改前,采购订单
1001Z81000000000CJE4,修改后,采购订单
1001Z81000000000CJE5,删除前,采购订单
1001Z81000000000CJE6,删除后,采购订单
1001Z81000000000CJE8,冻结后,采购订单
1001Z81000000000CJEA,取消冻结后,采购订单
1001Z81000000000CU6X,取消付款申请后,采购订单
1001Z810000000000RS5,付款关闭前,采购订单
1001Z810000000000RSA,付款关闭后,采购订单
1001Z810000000000RSD,付款打开前,采购订单
1001Z810000000000RSG,付款打开后,采购订单
1003Z810000000005NPD,取消付款申请前,采购订单
1003Z8100000000053N5,送审前,采购订单
1003Z8100000000053N6,送审后,采购订单
1003Z8100000000053N7,审批前,采购订单
1003Z8100000000053N8,审批后,采购订单
1003Z8100000000053N9,弃审前,采购订单
1003Z8100000000053NA,弃审后,采购订单
1003Z8100000000075QJ,行关闭前,采购订单
1003Z8100000000075QV,行关闭后,采购订单
1003Z8100000000075QW,行打开前,采购订单
1003Z8100000000075QY,最终关闭前,采购订单
1003Z8100000000075RA,最终关闭后,采购订单
1003Z8100000000075RB,最终打开前,采购订单
1003Z8100000000075RG,最终打开后,采购订单
1003Z8100000000075QX,行打开后,采购订单
1001Z81000000000CJE9,取消冻结前,采购订单
1001Z81000000000CJE7,冻结前,采购订单
1003Z81000000000FUZN,收回前,采购订单
1003Z81000000000FUZZ,收回后,采购订单
1003Z81000000000OOW2,删除后,采购订单到货计划
1003Z81000000000OOW3,删除前,采购订单到货计划
1003Z810000000005P93,行关闭,物资需求申请单
1003Z810000000005P94,行打开,物资需求申请单
1001ZF10000000010SVD,发布后,采购订单
1001Z81000000000IAYE,新增前,采购发票
1001Z81000000000IAYF,新增后,采购发票
1001Z81000000000IAYG,修改前,采购发票
1001Z81000000000IAYH,修改后,采购发票
1001Z81000000000IAYI,审核前,采购发票
1001Z81000000000IAYJ,审核后,采购发票
1001Z81000000000IAYK,取消审核前,采购发票
1001Z81000000000IAYL,取消审核后,采购发票
1001Z81000000000IAYM,传应付前,采购发票
1001Z81000000000IAYN,传应付后,采购发票
1001Z81000000000IAYO,取消传应付前,采购发票
1001Z81000000000IAYP,取消传应付后,采购发票
0001Z81000000000SJ0C,删除前,采购发票
0001Z81000000000SJ0D,删除后,采购发票
