pub_billaction
pk_billaction,actionnote,showhint
1001Z810000000000KV8,传应付,
1001Z810000000000KV9,弃审,
1001Z810000000000KVA,收回,
1001Z810000000000KV1,审批,
1003Z810000000006IN1,审批,
1003Z810000000006IN2,弃审,
1003Z810000000006IN3,作废,
1003Z810000000006IN4,收回,
1003Z810000000006IMW,传应付,
1003Z810000000006IN0,送审,
1003Z810000000006IMX,入库单推式保存,
1003Z810000000006IMY,保存并送审,
1003Z810000000006IMZ,保存,
1003Z810000000006KVW,入库单推式保存,
1003Z810000000006KVX,保存并送审,
1003Z810000000006KVY,保存,
1003Z810000000006KVZ,送审,
1003Z810000000006KW0,审批,
1003Z810000000006KW1,弃审,
1003Z810000000006KW2,作废,
1003Z810000000006KW3,收回,
1003Z810000000006KVU,取消传应付,
1003Z810000000006KVV,传应付,
1001Z810000000003U4G,审批,
1001Z810000000003U4H,弃审,
1001Z810000000003U4I,作废,
1001Z810000000003U4J,收回,
1001Z810000000003U4A,取消传应付,
1001Z810000000003U4B,传应付,
1001Z810000000003U4D,保存并送审,
1001Z810000000003U4E,保存,
1001Z810000000003U4F,送审,
1003Z81000000000DYBI,审批,
1003Z81000000000DYBJ,取消传应付,
1003Z81000000000DYBK,作废,
1003Z81000000000DYBL,入库单推式保存,
1003Z81000000000DYBM,送审,
1003Z81000000000DYBN,保存,
1003Z81000000000DYBO,保存并送审,
1003Z81000000000DYBP,传应付,
1003Z81000000000DYBQ,弃审,
1003Z81000000000DYBR,收回,
1002Z810000000001Y7Z,取消传应付,
1002Z8100000000029SK,传应付,
1002Z81000000001PD49,入库单推式保存,
1002Z8100000000004N0,保存并送审,
1002Z81000000000CRNZ,保存,
1002Z800000000000012,送审,
1002Z800000000000013,审批,
1002Z800000000000014,弃审,
1002Z800000000000015,作废,
1001Z81000000000CFPH,收回,
1001Z810000000000KV2,取消传应付,
1001Z810000000000KV3,作废,
1001Z810000000000KV4,入库单推式保存,
1001Z810000000000KV5,送审,
1001Z810000000000KV6,保存,
1001Z810000000000KV7,保存并送审,
1003Z810000000006IMV,取消传应付,
1001Z810000000003U4C,入库单推式保存,
