pub_eventtype
pk_eventtype,eventtypename,sourcename
1001Z81000000000CJE1,新增前,采购订单
1001Z81000000000CJE3,修改前,采购订单
1001Z81000000000CJE4,修改后,采购订单
1001Z81000000000CJE5,删除前,采购订单
1001Z81000000000CJE6,删除后,采购订单
1001Z81000000000CJE8,冻结后,采购订单
1001Z81000000000CU6X,取消付款申请后,采购订单
1001Z810000000000RS5,付款关闭前,采购订单
1001Z810000000000RSA,付款关闭后,采购订单
1001Z810000000000RSD,付款打开前,采购订单
1001Z810000000000RSG,付款打开后,采购订单
1003Z810000000005NPD,取消付款申请前,采购订单
1003Z8100000000053N5,送审前,采购订单
1003Z8100000000053N6,送审后,采购订单
1003Z8100000000053N7,审批前,采购订单
1003Z8100000000053N9,弃审前,采购订单
1003Z8100000000053NA,弃审后,采购订单
1003Z8100000000075QV,行关闭后,采购订单
1003Z8100000000075QW,行打开前,采购订单
1003Z8100000000075QY,最终关闭前,采购订单
1003Z8100000000075RA,最终关闭后,采购订单
1003Z8100000000075RB,最终打开前,采购订单
1003Z8100000000075RG,最终打开后,采购订单
1003Z8100000000075QX,行打开后,采购订单
1001Z81000000000CJE9,取消冻结前,采购订单
1001Z81000000000CJE7,冻结前,采购订单
1003Z81000000000FUZZ,收回后,采购订单
1003Z81000000000OOW2,删除后,采购订单到货计划
1003Z81000000000OOW3,删除前,采购订单到货计划
1003Z8100000000053N8,审批后,采购订单
1001Z81000000000CJE2,新增后,采购订单
1003Z8100000000075QJ,行关闭前,采购订单
1001Z81000000000CJEA,取消冻结后,采购订单
1003Z81000000000FUZN,收回前,采购订单
