bi_smart_def
pk_def,defname
1008Z810000000001EXI,采购订单在途查询
1001Z81000000000G48X,到货单查询_采购订单
1001Z8100000000064OH,供应商暂估明细查询
1003Z8100000000027H6,暂估月统计
1002Z81000000000109L,到货计划查询
1002Z81000000000LWKY,供应商暂估余额查询
1001Z81000000000G48Z,到货单查询_委外订单
1002Z810000000005JUH,采购订单付款执行情况查询
1003Z810000000007KDR,请购单执行明细
1002Z81000000000OL16,采购结算单查询
1003Z81000000000293R,采购订单退货明细查询
1003Z810000000005T3T,采购发票明细查询
1003Z81000000000293V,采购订单退货明细查询_退库单
1001Z810000000000GAG,采购日报
1004Z810000000000NXG,物资需求申请汇总表
1002Z8100000000002BD,采购暂估差异表
1007Z810000000000001,日到货情况查询
1001Z810000000009AW0,按供应商统计订单完成率
1002Z810000000001VWW,采购订单统计表
1001Z81000000000G490,到货单查询
1002Z8100000000008HL,采购订单执行查询
1003Z81000000000293T,采购订单退货明细查询_退货单
1001Z810000000000DW1,供应商暂估余额表
1001Z810000000000G7D,采购入库待开票数量查询
1003Z810000000002J1T,采购订单明细查询
1001Z8100000000065IA,物资需求申请执行情况查询
