pub_eventtype
pk_eventtype,eventtypename,sourcename
1003Z810000000005P94,行打开,物资需求申请单
1003Z810000000005P93,行关闭,物资需求申请单
1002Z810000000000CCK,行关闭前,物资需求申请单
1002Z810000000000CCL,行打开前,物资需求申请单
1002Z810000000000CCM,整单关闭前,物资需求申请单
1002Z810000000000CCN,整单关闭后,物资需求申请单
1002Z810000000000CCO,整单打开前,物资需求申请单
1002Z810000000000CCP,整单打开后,物资需求申请单
0001Z810000000005JUJ,新增前,物资需求申请单
0001Z810000000005JUK,新增后,物资需求申请单
0001Z810000000005JUL,修改前,物资需求申请单
0001Z810000000005JUM,修改后,物资需求申请单
0001Z810000000005JUN,删除前,物资需求申请单
0001Z810000000005JUO,删除后,物资需求申请单
